Podcast,Episode Name,Stream Link
"1 - Harry Potter und der Stein der Weisen","Ansage","https://s3.castbox.fm/c9/cf/53/cf786d49618e2e8eb8035dc144.mp3"
"1 - Harry Potter und der Stein der Weisen","Ein Junge überlebt","https://s3.castbox.fm/ec/22/04/e47701437e9273abb1e8f0ac52.mp3"
"1 - Harry Potter und der Stein der Weisen","Ein Fenster verschwindet","https://s3.castbox.fm/3a/a4/11/a2cc264561b6a6112704902e47.mp3"
"1 - Harry Potter und der Stein der Weisen","Briefe von niemandem","https://s3.castbox.fm/c0/b1/fd/2b1c52409098a0103146a87c84.mp3"
"1 - Harry Potter und der Stein der Weisen","Der Hüter der Schlüssel","https://s3.castbox.fm/a9/01/fd/560106463fafc4b3dd448a608a.mp3"
"1 - Harry Potter und der Stein der Weisen","In der Winkelgasse","https://s3.castbox.fm/8a/69/4a/9f95664c49bdd7fe3e9d5782cd.mp3"
"1 - Harry Potter und der Stein der Weisen","Abreise von Gleis neundreiviertel","https://s3.castbox.fm/bc/47/31/6956e245be8178b47fd84db023.mp3"
"1 - Harry Potter und der Stein der Weisen","Der sprechende Hut","https://s3.castbox.fm/5a/c0/17/781ea443ada12f78abe3c372cf.mp3"
"1 - Harry Potter und der Stein der Weisen","Der Meister der Zaubertränke","https://s3.castbox.fm/53/ef/2c/9937ca452f9ae66e4182e31ac7.mp3"
"1 - Harry Potter und der Stein der Weisen","Duell um Mitternacht","https://s3.castbox.fm/8e/2f/c7/d84678451d9b8c6f52bcd8ce79.mp3"
"1 - Harry Potter und der Stein der Weisen","Halloween","https://s3.castbox.fm/db/7c/42/7f47d64f139c06356a51484969.mp3"
"1 - Harry Potter und der Stein der Weisen","Quidditch","https://s3.castbox.fm/4b/a9/9d/b735df4aa69c3d4c0701ba74a2.mp3"
"1 - Harry Potter und der Stein der Weisen","Der Spiegel Nerhegeb","https://s3.castbox.fm/31/34/49/9cf2c04254a28c8bc580967d21.mp3"
"1 - Harry Potter und der Stein der Weisen","Nicolas Flamel","https://s3.castbox.fm/6f/af/b7/9d325e4d3dba24acfa4780f62c.mp3"
"1 - Harry Potter und der Stein der Weisen","Norbert, der norwegische Stachelbuckel","https://s3.castbox.fm/0e/f3/62/da56304cef9143c686d6b8fd27.mp3"
"1 - Harry Potter und der Stein der Weisen","Der verbotene Wald","https://s3.castbox.fm/6e/2b/ac/ece3e44fd4823e9edaee513312.mp3"
"1 - Harry Potter und der Stein der Weisen","Durch die Falltür","https://s3.castbox.fm/fd/1e/56/e6c7084d2abb95af2514b4f1c8.mp3"
"1 - Harry Potter und der Stein der Weisen","Der Mann mit den zwei Gesichtern","https://s3.castbox.fm/4b/47/55/f467c64d7ab08d0bad8b107a94.mp3"
