Podcast,Episode Name,Stream Link
"2 - Harry Potter und die Kammer des Schreckens","Ansage","https://s3.castbox.fm/dc/e0/ec/9335764a8b8ee0b9a135f19373.mp3"
"2 - Harry Potter und die Kammer des Schreckens","Ein gräßlicher Geburtstag","https://s3.castbox.fm/81/8a/d8/133cdc4d7eb98742c4e663c9fa.mp3"
"2 - Harry Potter und die Kammer des Schreckens","Dobbys Warnung","https://s3.castbox.fm/56/83/dc/86869a45f980d6bd027345e6b2.mp3"
"2 - Harry Potter und die Kammer des Schreckens","Der Fuchsbau","https://s3.castbox.fm/e0/f1/f7/967dbb40fea015ee315f28a39e.mp3"
"2 - Harry Potter und die Kammer des Schreckens","Bei Flourish & Blotts","https://s3.castbox.fm/1e/40/87/a258674da08d1115ebdb2463f1.mp3"
"2 - Harry Potter und die Kammer des Schreckens","Die peitschende Weide","https://s3.castbox.fm/ea/37/01/3d7d32420791697b8aa1f0bafc.mp3"
"2 - Harry Potter und die Kammer des Schreckens","Gilderoy Lockhart","https://s3.castbox.fm/42/8d/76/dfd4574666bec3bd3bb551bf3a.mp3"
"2 - Harry Potter und die Kammer des Schreckens","Die unheimliche Stimme","https://s3.castbox.fm/13/3d/56/fc0a5346ef99703c4499674233.mp3"
"2 - Harry Potter und die Kammer des Schreckens","Die Todestagsfeier","https://s3.castbox.fm/e1/92/23/59559440db97391d5354d758ad.mp3"
"2 - Harry Potter und die Kammer des Schreckens","Die Schrift an der Wand","https://s3.castbox.fm/5c/71/b5/93720042d5b56576f0d10c60c7.mp3"
"2 - Harry Potter und die Kammer des Schreckens","Der besessene Klatscher","https://s3.castbox.fm/76/ee/47/937c52460a843c4fa8096a08b2.mp3"
"2 - Harry Potter und die Kammer des Schreckens","Der Duellierclub","https://s3.castbox.fm/00/81/f9/93b70d4adba99318df5f5f88b1.mp3"
"2 - Harry Potter und die Kammer des Schreckens","Der Vielsaft-Trank","https://s3.castbox.fm/13/4f/95/221d7942cf825238bfd8dbcdee.mp3"
"2 - Harry Potter und die Kammer des Schreckens","Der sehr geheime Taschenkalender","https://s3.castbox.fm/01/43/5a/77b44743c19e9c39d7e0efceee.mp3"
"2 - Harry Potter und die Kammer des Schreckens","Cornelius Fudge","https://s3.castbox.fm/16/65/d2/ac2d814546bd9bc00d6f22009c.mp3"
"2 - Harry Potter und die Kammer des Schreckens","Aragog","https://s3.castbox.fm/35/eb/bd/cacb8442cfabdd97a44f1a0132.mp3"
"2 - Harry Potter und die Kammer des Schreckens","Die Kammer des Schreckens","https://s3.castbox.fm/b1/39/30/72582b4d7eb27eb259e87fc9b9.mp3"
"2 - Harry Potter und die Kammer des Schreckens","Der Erbe Slytherins","https://s3.castbox.fm/f8/e8/3f/9e7a14449a90b0f05a13e77310.mp3"
"2 - Harry Potter und die Kammer des Schreckens","Dobbys Belohnung","https://s3.castbox.fm/c0/b6/76/c0f2e14734a6e506b39bc928e4.mp3"
