Podcast,Episode Name,Stream Link
"3 - Harry Potter und der Gefangene von Askaban","Ansage","https://s3.castbox.fm/19/21/38/0577e240b39f66489fa1306bb5.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Eulenpost","https://s3.castbox.fm/48/76/7f/a8022648a49bc1354d07e5bb3e.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Tante Magdas größter Fehler","https://s3.castbox.fm/80/fa/7f/ee5c25479c981ab4c3116dec21.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Der Fahrende Ritter","https://s3.castbox.fm/9d/03/f4/203f6f4bd4ac7ab29517a7767d.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Im Tropfenden Kessel","https://s3.castbox.fm/26/0b/4e/962a5947c09a69a2e0cca86feb.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Der Dementor","https://s3.castbox.fm/b9/8c/92/ca6ee843e39224c851b38fb681.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Teeblätter und Krallen","https://s3.castbox.fm/9a/aa/1a/2e10694c04bb67946c71f517c0.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Der Irrwicht im Schrank","https://s3.castbox.fm/24/68/56/63b46949e9bdd46a91cf7c047b.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Die Flucht der fetten Dame","https://s3.castbox.fm/c1/0b/80/55f0604485b9666b92f20a1261.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Eine bittere Niederlage","https://s3.castbox.fm/36/d6/a1/83ee1b4941ad2943ac79b3279e.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Die Karte des Rumtreibers","https://s3.castbox.fm/8f/b6/55/63e4d54e829dea06e10fc384e6.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Der Feuerblitz","https://s3.castbox.fm/74/4f/ce/dc19ce4952a6c3c98786df3e96.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Der Patronus","https://s3.castbox.fm/cc/ad/65/6e929b439da246c7d4c25a5900.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Gryffindor gegen Ravenclaw","https://s3.castbox.fm/cd/d8/ad/0752f1455aa77328e627a0416e.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Snapes Groll","https://s3.castbox.fm/4b/97/05/7af7684952975c614fe129fa75.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Das Finale","https://s3.castbox.fm/bf/e3/1a/d1bb944daab0af6645e5a95ab9.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Professor Trelawneys Vorhersage","https://s3.castbox.fm/e7/2a/b3/b822aa4e7ea171fd5c54721c5c.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Kater, Ratte, Hund","https://s3.castbox.fm/83/a2/50/f593194e22b568e676aac9e55c.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Vier Freunde","https://s3.castbox.fm/16/5c/5c/b56254492bb96815c7bd20b4f6.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Lord Voldemorts Knecht","https://s3.castbox.fm/68/78/13/9dadad497aa90c795c73af723b.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Der Kuss des Dementors","https://s3.castbox.fm/42/9b/9a/4267bf4bb9956359ec87f05829.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Hermines Geheimnis","https://s3.castbox.fm/40/ca/b2/034fb149b6b20f32b3c4c14e43.mp3"
"3 - Harry Potter und der Gefangene von Askaban","Noch einmal Eulenpost","https://s3.castbox.fm/64/d1/02/644e354cbeacb265b607d47ef1.mp3"
