Podcast,Episode Name,Stream Link
"4 - Harry Potter und der Feuerkelch","Ansage","https://s3.castbox.fm/5b/c0/c4/bc246447a390c62affeaf668ea.mp3"
"4 - Harry Potter und der Feuerkelch","Das Haus der Riddles","https://s3.castbox.fm/95/dd/d0/ea55ae4891a442d80bafba94f5.mp3"
"4 - Harry Potter und der Feuerkelch","Die Narbe","https://s3.castbox.fm/4b/42/53/a006714965b8cf3a56eb77b90d.mp3"
"4 - Harry Potter und der Feuerkelch","Die Einladung","https://s3.castbox.fm/29/00/1f/ea57754fb390702796e8f810fa.mp3"
"4 - Harry Potter und der Feuerkelch","Zurück zum Fuchsbau","https://s3.castbox.fm/d8/c9/0f/9ee93b43c0b1106a0b3a45fee2.mp3"
"4 - Harry Potter und der Feuerkelch","Weasleys Zauberhafte Zauberscherze","https://s3.castbox.fm/35/5f/29/1ce32747c7ae6c9b3390c43f51.mp3"
"4 - Harry Potter und der Feuerkelch","Der Portschlüssel","https://s3.castbox.fm/58/c5/7c/61d2dd49e18619afa7f13059cf.mp3"
"4 - Harry Potter und der Feuerkelch","Bagman und Crouch","https://s3.castbox.fm/cd/7c/a1/13e59b4d05b782fe5315f13e45.mp3"
"4 - Harry Potter und der Feuerkelch","Die Quidditch-Weltmeisterschaft","https://s3.castbox.fm/92/fe/e6/01ca274555b97a1359bea1645a.mp3"
"4 - Harry Potter und der Feuerkelch","Das dunkle Mal","https://s3.castbox.fm/43/92/12/fb612f46029da358772f212ee4.mp3"
"4 - Harry Potter und der Feuerkelch","Wirbel im Ministerium","https://s3.castbox.fm/85/b4/c7/7e886a49108f8035e084217892.mp3"
"4 - Harry Potter und der Feuerkelch","Im Hogwarts Express","https://s3.castbox.fm/a8/49/2d/3fcce044f0a652288ed24d45a8.mp3"
"4 - Harry Potter und der Feuerkelch","Das Trimagische Turnier","https://s3.castbox.fm/9b/72/41/f5a58743178d78c9eacedf496e.mp3"
"4 - Harry Potter und der Feuerkelch","Mad-Eye Moody","https://s3.castbox.fm/fd/5b/af/194d5f473399190b46483b4ddd.mp3"
"4 - Harry Potter und der Feuerkelch","Die unverzeihlichen Flüche","https://s3.castbox.fm/d6/e3/c6/ad564d47f99e17116280461f3a.mp3"
"4 - Harry Potter und der Feuerkelch","Beauxbatons und Durmstrang","https://s3.castbox.fm/14/c0/bf/f1d8fe4b609daa9f95deec00ab.mp3"
"4 - Harry Potter und der Feuerkelch","Der Feuerkelch","https://s3.castbox.fm/54/80/b6/bc36594ae794090e498fe7f960.mp3"
"4 - Harry Potter und der Feuerkelch","Die vier Champions","https://s3.castbox.fm/f1/7c/23/aeb42b4c4d8456ea5def851cf8.mp3"
"4 - Harry Potter und der Feuerkelch","Die Eichung der Zauberstäbe","https://s3.castbox.fm/e0/a1/85/c22df84c158db28789231c5723.mp3"
"4 - Harry Potter und der Feuerkelch","Der Ungarische Hornschwanz","https://s3.castbox.fm/03/02/07/ea85d54bc9874472b7ef438cff.mp3"
"4 - Harry Potter und der Feuerkelch","Die erste Aufgabe","https://s3.castbox.fm/f4/42/d3/da6c594dcd848e7a148a516295.mp3"
"4 - Harry Potter und der Feuerkelch","Die Hauselfen-Befreiungsfront","https://s3.castbox.fm/66/d8/8d/187dae4d118aa3696dce0e3089.mp3"
"4 - Harry Potter und der Feuerkelch","Die unerwartete Aufgabe","https://s3.castbox.fm/e5/d0/fa/87b12d410cbbc95b0d2821a9c4.mp3"
"4 - Harry Potter und der Feuerkelch","Der Weihnachtsball","https://s3.castbox.fm/d3/ac/81/02cc834ac988b99d776bcec973.mp3"
"4 - Harry Potter und der Feuerkelch","Rita Kimmkorns Riesenknüller","https://s3.castbox.fm/78/20/3b/176b844ab597847c281924e679.mp3"
"4 - Harry Potter und der Feuerkelch","Das Ei und das Auge","https://s3.castbox.fm/29/d4/30/b0c0a14e798fc59d2ee5bb01b3.mp3"
"4 - Harry Potter und der Feuerkelch","Die zweite Aufgabe","https://s3.castbox.fm/43/5d/67/2216d44d71957cd8e252717c77.mp3"
