Podcast,Episode Name,Stream Link
"5 - Harry Potter und der Orden des Phönix","Ansage","https://s3.castbox.fm/63/25/d5/18bc214328a695af1ef3b7aa56.mp3"
"5 - Harry Potter und der Orden des Phönix","Dudley umnachtet","https://s3.castbox.fm/da/7f/4c/428e6642af84d6a0303a28f2a4.mp3"
"5 - Harry Potter und der Orden des Phönix","Eulen über Eulen","https://s3.castbox.fm/d9/6d/66/5c7ecc4a7cb3668137caeac216.mp3"
"5 - Harry Potter und der Orden des Phönix","Die Vorhut","https://s3.castbox.fm/eb/ee/a3/b0955a4d3889b7a84b36d3b7c2.mp3"
"5 - Harry Potter und der Orden des Phönix","Grimmauldplatz Nummer zwölf","https://s3.castbox.fm/32/94/f0/f5229b41b8912e77dec70b53a8.mp3"
"5 - Harry Potter und der Orden des Phönix","Der Orden des Phönix","https://s3.castbox.fm/ca/94/96/c074084528b4438754463a8300.mp3"
"5 - Harry Potter und der Orden des Phönix","Das fürnehme und gar alte Haus der Blacks","https://s3.castbox.fm/1c/d9/f7/58605a48e4ba4f139735460b0d.mp3"
"5 - Harry Potter und der Orden des Phönix","Das Zaubereiministerium","https://s3.castbox.fm/f2/3b/47/3e1aff45049d2b653a153a6336.mp3"
"5 - Harry Potter und der Orden des Phönix","Die Anhörung","https://s3.castbox.fm/7f/a0/ca/2d80414a0c97d0425eaa3b9517.mp3"
"5 - Harry Potter und der Orden des Phönix","Mrs Weasleys Wehklage","https://s3.castbox.fm/b4/ee/84/fe96cb436b8ca3b3dda0d40d7f.mp3"
"5 - Harry Potter und der Orden des Phönix","Luna Lovegood","https://s3.castbox.fm/e3/58/da/52a2c74a6c93bd095c180a4464.mp3"
"5 - Harry Potter und der Orden des Phönix","Das neue Lied des Sprechenden Huts","https://s3.castbox.fm/3c/61/c7/22fdc7488b9e171eddd5219866.mp3"
"5 - Harry Potter und der Orden des Phönix","Professor Umbridge","https://s3.castbox.fm/81/84/2f/4b94014a84b869da623a4dd2a5.mp3"
"5 - Harry Potter und der Orden des Phönix","Strafarbeit bei Dolores","https://s3.castbox.fm/01/43/fb/286bc84e07a6f7528585dccdcf.mp3"
"5 - Harry Potter und der Orden des Phönix","Percy und Tatze","https://s3.castbox.fm/9f/bf/8c/9bd3164b4baaf36583505491f3.mp3"
"5 - Harry Potter und der Orden des Phönix","Die Großinquisitorin von Hogwarts","https://s3.castbox.fm/f4/58/b9/cc7655449e8ace20d68f81ed77.mp3"
