Podcast,Episode Name,Stream Link
"6 - Harry Potter und der Halbblutprinz","Ansage","https://s3.castbox.fm/66/85/6a/7a02524ce0b826004eb26502c6.mp3"
"6 - Harry Potter und der Halbblutprinz","Der andere Minister","https://s3.castbox.fm/aa/0a/d9/b223d748089aaca53f8bdffe4c.mp3"
"6 - Harry Potter und der Halbblutprinz","Spinners End","https://s3.castbox.fm/9a/05/f8/28f8b54bdc97ab3643727f7bc6.mp3"
"6 - Harry Potter und der Halbblutprinz","Wollen und Nichtwollen","https://s3.castbox.fm/e6/d6/6c/ffd2b34a4eac217ca15b208e38.mp3"
"6 - Harry Potter und der Halbblutprinz","Horace Slughorn","https://s3.castbox.fm/3d/e8/db/1a43324b0cb02c3937d5c57cb3.mp3"
"6 - Harry Potter und der Halbblutprinz","Schleim im Überfluss","https://s3.castbox.fm/20/ca/c5/26045143f8b021e180c8a5befb.mp3"
"6 - Harry Potter und der Halbblutprinz","Dracos Abstecher","https://s3.castbox.fm/65/25/19/0014844984a901aa91d4f14d1d.mp3"
"6 - Harry Potter und der Halbblutprinz","Der Slug-Klub","https://s3.castbox.fm/cb/1a/c1/bae1004bbe8897920a142746a6.mp3"
"6 - Harry Potter und der Halbblutprinz","Snape triumphiert","https://s3.castbox.fm/22/89/4d/2fe6684b438a523588fb62dd9d.mp3"
"6 - Harry Potter und der Halbblutprinz","Der Halbblutprinz","https://s3.castbox.fm/45/75/8e/fc319f42c1a237fa1d4915eba8.mp3"
"6 - Harry Potter und der Halbblutprinz","Das Haus der Gaunts","https://s3.castbox.fm/33/d3/e2/807666478eabfe8f9566940903.mp3"
"6 - Harry Potter und der Halbblutprinz","Hermines helfende Hand","https://s3.castbox.fm/a7/46/6e/1f15e64191a4cb3a5a013f9bbc.mp3"
"6 - Harry Potter und der Halbblutprinz","Silber und Opale","https://s3.castbox.fm/85/0e/ce/666eb44126b5214e025c281c8a.mp3"
"6 - Harry Potter und der Halbblutprinz","Der geheime Riddle","https://s3.castbox.fm/72/6c/29/76cb9049379adbb7809654f5ae.mp3"
"6 - Harry Potter und der Halbblutprinz","Felix Felicis","https://s3.castbox.fm/f5/35/8a/66aa294b4a9e529971509f63c5.mp3"
"6 - Harry Potter und der Halbblutprinz","Der unbrechbare Schwur","https://s3.castbox.fm/eb/7c/eb/b7fab14edd964e6bad3aa5bde3.mp3"
"6 - Harry Potter und der Halbblutprinz","Sehr frostige Weihnachten","https://s3.castbox.fm/15/d1/90/d8d3bd4e2cb80c1ed46c25a171.mp3"
"6 - Harry Potter und der Halbblutprinz","Eine getrübte Erinnerung","https://s3.castbox.fm/38/87/a7/195862437b8bd6bfa12b914b7c.mp3"
"6 - Harry Potter und der Halbblutprinz","Geburtstagsüberraschungen","https://s3.castbox.fm/de/9f/90/7b3a0e4e6eae64bc062391f3a9.mp3"
"6 - Harry Potter und der Halbblutprinz","Elfen helfen","https://s3.castbox.fm/0e/03/4e/4bfcad492485b61a48b3d7c786.mp3"
"6 - Harry Potter und der Halbblutprinz","Der unergründliche Raum","https://s3.castbox.fm/70/3c/aa/c781e14097bea86b77054ea702.mp3"
"6 - Harry Potter und der Halbblutprinz","Lord Voldemorts Gesuch","https://s3.castbox.fm/b6/86/61/f95db84d5391e79b26f0a87191.mp3"
"6 - Harry Potter und der Halbblutprinz","Nach der Beerdigung","https://s3.castbox.fm/5d/c8/d1/3e760444ffa16094c8a5c16c9a.mp3"
"6 - Harry Potter und der Halbblutprinz","Horkruxe","https://s3.castbox.fm/de/88/4e/67792341bfa2da67ff72ddc787.mp3"
"6 - Harry Potter und der Halbblutprinz","Sectumsempra","https://s3.castbox.fm/75/98/13/d46047498185e5c6bfd28f0ccb.mp3"
"6 - Harry Potter und der Halbblutprinz","Die belauschte Seherin","https://s3.castbox.fm/2e/5c/d7/6aefad43e48e909d6874c1fceb.mp3"
"6 - Harry Potter und der Halbblutprinz","Die Höhle","https://s3.castbox.fm/80/3e/94/2a36bb4a038fc1e83e1a0289d7.mp3"
"6 - Harry Potter und der Halbblutprinz","Der vom Blitz getroffene Turm","https://s3.castbox.fm/f9/b7/3b/8183564f5e96512319c1afbdfd.mp3"
"6 - Harry Potter und der Halbblutprinz","Die Flucht des Prinzen","https://s3.castbox.fm/f9/c0/1b/d131574603b2ad6b51d7e8ac12.mp3"
"6 - Harry Potter und der Halbblutprinz","Die Klage des Phönix","https://s3.castbox.fm/3a/de/82/ac54644f5782c15375c422c5a9.mp3"
"6 - Harry Potter und der Halbblutprinz","Das weiße Grabmal","https://s3.castbox.fm/6f/1c/1b/cb39af4a2f82f036b951a31b37.mp3"
