Podcast,Episode Name,Stream Link
"7 - Harry Potter und die Heiligtümer des Todes","Der Dunkle Lord erhebt sich","https://s3.castbox.fm/03/f1/0b/bf15b94ca18fd822584ae4204c.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","In memoriam","https://s3.castbox.fm/b3/6a/19/06ddf6492b9bb3ff8c1867e0c2.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Die Dursleys reisen ab","https://s3.castbox.fm/c9/16/c5/0fdc4d48b29ffc66fd64e95210.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Die sieben Potters","https://s3.castbox.fm/92/c7/7d/5f269749b78286e3cb29fd78f4.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Gefallener Krieger","https://s3.castbox.fm/53/35/57/e4a2da48cab3cfed4d9db40b96.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Der Ghul im Schlafanzug","https://s3.castbox.fm/f8/f2/c7/d8bdfd4128aed437954f9536d8.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Das Testament von Albus Dumbledore","https://s3.castbox.fm/40/f5/57/8aed504124ab86ab95060b5ffd.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Die Hochzeit","https://s3.castbox.fm/c6/cf/99/66ff8544be997747ee7d55c926.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Ein Versteck","https://s3.castbox.fm/79/a5/bd/d7fa284a3fbff773dc8aa51a7b.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Kreachers Geschichte","https://s3.castbox.fm/b6/56/e0/bf07c640cf9c2a47a50e2fea4d.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Das Bestechungsgeschenk","https://s3.castbox.fm/e3/79/94/672fe5413da950160c92b890a2.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Magie ist Macht","https://s3.castbox.fm/af/bb/ca/0b28994e9d8db48cdba0876835.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Die Registrierungskommission für Muggelstämmige","https://s3.castbox.fm/e1/0b/dd/5c262245ac9918c2846bd46d16.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Der Dieb","https://s3.castbox.fm/fc/63/33/cbbc6a432b93bedb9fb79adbfc.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Die Rache des Kobolds","https://s3.castbox.fm/4e/6c/cc/969bb0470a9ad17be6c36d13af.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Godrics Hollow","https://s3.castbox.fm/fa/24/c9/a7907c4d349046c3d5f1334f62.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Bathildas Geheimnis","https://s3.castbox.fm/8c/d0/a6/39e8b242caae739e4fdfcf832b.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Leben und Lügen des Albus Dumbledore","https://s3.castbox.fm/33/88/b4/6d85954e3192bb706d242077fe.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Die silberne Hirschkuh","https://s3.castbox.fm/a7/25/ed/48c26642a5b84721bd83019b2b.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Xenophilius Lovegood","https://s3.castbox.fm/f0/a6/3a/bbfa8541a9bbc000339a9ac99f.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Das Märchen von den drei Brüdern","https://s3.castbox.fm/34/91/be/83f86a41208cce2074b4db2eaa.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Die Heiligtümer des Todes","https://s3.castbox.fm/f4/ae/1c/eac3ad4e04acf86fcfdb8396ff.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Das Haus Malfoy","https://s3.castbox.fm/dc/fe/b7/e0c3024ffc863c481259d0b888.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Der Zauberstabmacher","https://s3.castbox.fm/19/ff/32/a0f0064f5fb58b60241d14f56f.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Shell Cottage","https://s3.castbox.fm/e7/51/bc/78ced04f1a8fa0a81790c3c345.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Gringotts","https://s3.castbox.fm/94/9e/cb/4c05d0425da0679edc84721847.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Das letzte Versteck","https://s3.castbox.fm/ef/82/e2/7a67644bd2b9705f6c92db1c4c.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Der fehlende Spiegel","https://s3.castbox.fm/8a/00/98/10e5c044d8beb93a1d85738904.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Das verschollene Diadem","https://s3.castbox.fm/c6/1f/20/1d74da418bb43789b8f33ef41d.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Der Rauswurf von Severus Snape","https://s3.castbox.fm/fa/63/c5/9c2b5b4739b8355d70a952fccb.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Die Schlacht von Hogwarts","https://s3.castbox.fm/03/1c/93/02d0a44755b33dfccf558d3c4c.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Der Elderstab","https://s3.castbox.fm/c9/9e/67/4d4c4c40498e7c41ba40422808.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Die Geschichte des Prinzen","https://s3.castbox.fm/9d/c4/c5/a330ef4d51b0f27c3f9b62fdc0.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Wieder der Wald","https://s3.castbox.fm/60/cd/19/b5b1174d6799139374f623ca2b.mp3"
"7 - Harry Potter und die Heiligtümer des Todes","Kings Cross","https://s3.castbox.fm/31/49/e8/b25f3441b18af522dd9dfc73c6.mp3"
